,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Target
2015-04-08,154.55094992705776,152.58713489671655,150.02708101660588,143.6992696304375,154.6940328151515,0
2015-04-09,156.4560319637827,154.57815988543126,151.93267312299554,145.48009324399314,156.80657817444228,0
2015-04-10,158.3974264771157,156.5888441530929,153.84957399454612,147.33164000231395,158.94256376755445,0
2015-04-13,160.35533357560098,158.61029627892364,155.78549575276588,149.1801492359254,161.07283422464698,0
2015-04-14,162.29416864244382,160.6179765211973,157.68569791607547,150.98626723817884,163.16727677280284,0
2015-04-15,164.22275246440134,162.60707028626547,159.5660570901139,152.7893684336036,165.2249344484705,0
2015-04-16,166.13750810166687,164.57628964928952,161.43650936035817,154.59346971493252,167.2383772481519,1
2015-04-17,168.07967568158978,166.51855525606052,163.33880542304905,156.44970454551873,169.26192604814005,1
2015-04-20,170.0192495106409,168.50565775755905,165.2195730892984,158.28815408490945,171.26967615349463,1
2015-04-21,171.9884748510645,170.51512820407305,167.08404459651933,160.109373093175,173.24963321684487,1
2015-04-22,174.11253901905502,172.72025200862635,169.0723389213357,162.21446062182335,175.29971674789556,1
2015-04-23,176.07622458408053,174.71149270682963,170.94777637882024,164.04017795961408,177.29364184251466,1
2015-04-24,178.06739382705146,176.7267512275183,172.86884138082334,165.94391650606013,179.35636359778042,1
2015-04-27,180.1234604102426,178.87593604572928,174.86913997939294,167.84217575237494,181.47706774219645,1
2015-04-28,182.2342422564459,181.0441251104986,176.92468527375752,169.80289196748976,183.6655708767932,1
2015-04-29,184.33194696273347,183.20316143763944,178.96331057206734,171.69535234862562,185.89304630847462,1
2015-04-30,186.48424342479916,185.42782900095452,187.7925423852364,173.69042151642037,188.21484601887596,1
2015-05-01,188.60648094892008,187.62415484580524,189.9677206983482,175.65268233979202,190.52625713843437,1
2015-05-04,190.77707621056612,189.88307773579876,192.21219430554953,177.70238471252765,192.93636715625772,1
2015-05-05,192.9220202084442,192.16246154772742,194.45065359740133,179.74047861309435,195.3350435850431,1
2015-05-06,195.01715282079283,195.94252779551064,196.61319150800864,181.64672294195478,197.6756414924811,1
2015-05-07,197.00026016680982,198.01330049158514,198.6563333015499,183.48380869186488,199.90710111041875,1
2015-05-08,198.8458656673817,199.98069364251,200.55579375100018,185.20886867501872,202.01770367151207,1
2015-05-11,200.67119721860584,201.85326396977268,202.35466232703106,186.92889755003029,203.98820390450058,1
2015-05-12,202.25606551732488,203.46256664131695,203.96596365934596,188.44937902582183,205.72112072461684,1
2015-05-13,203.67089127553282,204.9367852509362,205.37733225525096,190.00411105564473,207.26617899236248,1
2015-05-14,204.87538962273823,206.17924968656246,206.59591994255294,191.24628183433455,208.5225401283003,1
2015-05-15,205.85907962814667,207.17313384006317,207.54080008993455,192.18939450147226,209.51333920940422,1
2015-05-18,206.80413803760837,208.20822497005253,208.33787477627732,193.14710066532365,210.33475325802993,1
2015-05-19,207.40629991680706,208.75025149195844,208.88241199381196,193.7763239169072,210.84618782172674,1
2015-05-20,207.94427199389864,209.24164368372615,209.33368696748465,194.43808607856343,211.26197630744747,1
2015-05-21,208.32542574054168,209.578635177319,209.6255971962162,194.9424702390518,211.551165471842,1
2015-05-22,208.62349579890798,209.82489242733263,214.0773628181461,195.35517574753973,211.73890225182862,1
2015-05-25,208.84729128625258,210.03739375690776,214.2612788188928,195.68022046250834,211.85883538562953,1
2015-05-26,209.0154413373953,210.18196406643958,214.309035714511,195.87485515266926,211.96068753124874,1
2015-05-27,209.18190693164922,210.31299791708057,214.41128228643973,196.10368291090214,212.07039905138058,1
2015-05-28,209.3597998253065,210.47109887212278,214.49716026501116,196.3860610839471,212.22218752989974,1
2015-05-29,209.6141631401495,210.70383298876263,214.59619640349135,196.6265952867186,212.42397163711667,1
2015-06-01,209.7202698687835,210.73433833611398,214.65085172789986,196.62151083728907,212.5677550254431,1
2015-06-02,209.8508351151633,210.8610939742336,214.78545127138165,196.83933307938568,212.7801732232496,1
2015-06-03,210.09171760640945,211.0534873539565,214.9746801398549,197.15330318986955,213.03463465188392,1
2015-06-04,210.19366270816943,211.19666298738798,215.60960536851476,197.30316452197124,213.24298123599473,1
2015-06-05,210.23870242762993,211.06698026170793,215.62993974353532,197.43922377886219,213.37162732139757,1
2015-06-08,210.2425118530069,211.02932730040212,215.6780599969927,197.5614906759434,213.44924464066688,1
2015-06-09,210.17599801878387,210.95780190402053,215.5810622787914,197.54803766252803,213.4389258339759,1
2015-06-10,210.0435297725427,210.79252251912504,215.39160136372874,197.47684636273394,213.3081267393722,1
2015-06-11,209.8237384175889,210.5223222337695,215.2183133097157,197.31556369501868,213.03866354723164,1
2015-06-12,209.54028843740588,210.15474672424324,214.82771028358573,197.13415860637906,212.66935146201766,1
2015-06-15,209.09992944802394,209.65216060612693,214.353026885501,196.79707316671517,212.14988208034492,1
2015-06-16,208.68718094686267,209.15967517283204,213.8551350952758,196.49546532455787,211.60057432327147,1
2015-06-17,208.37838927436977,208.75220854985952,213.5293429376485,196.34466954924707,211.02591759630528,1
2015-06-18,205.04537855647533,208.19129699814113,213.00843609248165,195.98645190468224,210.40784368915655,1
2015-06-19,204.6470255959818,207.7059562251745,212.51021441031898,195.61695090070336,209.81073910170304,1
2015-06-22,204.34211478320057,207.32499187591992,212.12256728312454,195.34478062230082,209.30721422276247,1
2015-06-23,204.06887074793914,207.01285273762062,211.7686466480449,194.99484803188162,208.87406403466727,1
2015-06-24,203.9181438198138,206.89590771899162,211.62104134285423,194.8887956221649,208.62987275575654,1
2015-06-25,203.90082774369262,206.8615741668081,211.57515476683204,194.92941448297168,208.55768054324747,1
2015-06-26,204.0767443415862,207.05409571489702,211.71807585780095,195.03081183664256,208.6562633743973,1
2015-06-29,204.304258018364,207.31236781071925,211.96512339768083,195.15600395930736,208.90161153065492,1
2015-06-30,204.65167622642474,207.66536475005722,212.3313149187001,195.42643957094577,209.33618747409662,0
2015-07-01,205.04837303425808,208.11348408746096,212.7852035062919,195.7494551270276,209.84184279209836,0
2015-07-02,205.5455208147741,208.6864406056,213.34462212584603,196.16733775540308,210.46908501840082,0
2015-07-03,206.06771829222396,209.27445783082783,213.94561065786172,196.55166135582252,211.1496790023836,0
2015-07-06,206.6440055121844,209.9539728266735,214.61468192927606,197.01404436462576,211.87887851140954,0
2015-07-07,207.2267744412217,210.6181310734348,215.3160844228743,197.60166408487575,212.60635463719896,0
2015-07-08,207.78029815794926,211.28299480396956,215.95813130175836,198.01828003863992,213.2772588333666,0
2015-07-09,208.28619560582257,211.85775294665666,216.5416290182143,198.41546442706718,213.87245259728718,0
2015-07-10,208.72096809990316,212.32278699052043,217.03778662457074,198.7334026249391,214.34887356729507,0
2015-07-13,209.09975866941704,214.15900058267675,217.46620975086918,199.02102695218952,214.72704529032555,0
2015-07-14,209.3727620842596,214.45201269014072,217.7885673529972,199.19786280603793,214.95830239846043,0
2015-07-15,209.57917812803024,214.69045732244774,218.0409206277843,199.34409453257297,215.09272868318598,0
2015-07-16,209.71737053067793,214.8273090015762,218.18977335015154,199.40804186883338,215.12519785998109,1
2015-07-17,209.9279655910902,215.05351085487106,218.40705031675787,199.52224382336604,215.1599035851139,1
2015-07-20,210.0823764712353,215.31493496050356,218.59310025907112,199.58676204931373,215.1557080720897,1
2015-07-21,210.1832655231292,215.45605613342195,218.7164680155537,199.5939413364726,215.12342516206004,1
2015-07-22,210.28469691346507,215.5686084175731,218.8588491854656,199.65002197171472,215.10121803337756,1
2015-07-23,210.41125344182885,215.72117368438634,218.96855492254633,199.66504448329664,215.11086095762272,1
2015-07-24,210.48878006729882,215.8371910961232,219.09428823045457,199.58722477407352,215.11681768034708,1
2015-07-27,210.5389136998428,215.87252857433344,219.2084281715386,199.4570213314699,215.08317469586237,1
2015-07-28,210.62788012112827,216.01853850444846,219.37498411830111,199.4157610963611,215.16293111608232,1
2015-07-29,210.81900773791799,216.364447457799,219.53225302745926,199.48652263240868,215.31836106804647,1
2015-07-30,210.91101882248563,216.5222988314369,219.65645879428317,199.4541352898983,215.40649359595872,1
2015-07-31,210.89114006306767,216.5620939014118,219.70772366940864,199.31709460545318,215.43197792578744,1
2015-08-03,210.7861560192998,216.4854943620445,219.61221813777087,199.06550867524336,215.375520795064,0
2015-08-04,210.4418867219429,216.17901426133105,219.35732242242918,198.63162014303214,215.0850434897419,1
2015-08-05,210.01339189703842,215.77920538513476,218.95281255875702,197.94892518539788,214.6745159946323,1
2015-08-06,209.42301968081063,215.17846411432973,218.3881772797278,197.3260521109483,209.0520720024653,1
2015-08-07,208.6357493695059,214.38230413571668,217.66240679805873,196.53679501655304,208.22886824723125,1
2015-08-10,207.67387627690402,213.4133202465008,216.6825508616011,195.53213927055947,207.16750015514492,1
2015-08-11,206.4895593300395,212.13028289184362,216.8222879069461,194.36939631693556,205.857490924034,1
2015-08-12,205.10733018543922,210.6561833418008,215.34402244516886,192.99857246281863,204.30037969209548,1
2015-08-13,203.61918959605742,209.00747048258017,213.74762619469956,191.57262425583386,202.55083675272977,1
2015-08-14,201.91982409691244,207.19219910111346,211.8998367451706,189.87539970884555,200.61450412593675,1
2015-08-17,200.06890372559207,205.18348615346355,209.94670656117066,188.14063826817116,198.51736187465676,1
2015-08-18,198.15422568073802,203.07796969441765,207.80930752072854,186.2203323303982,196.32398719890776,1
2015-08-19,196.1783215361541,200.98117540745926,205.75203044189405,184.35907444881676,194.10225963570934,1
2015-08-20,194.16898296605623,198.76554504830352,203.56206706031386,182.3883955355091,191.83977995210572,1
2015-08-21,192.16009641528046,196.65297631949278,201.45869088995914,180.4712918876271,189.61596629414217,1
2015-08-24,190.1145245233701,194.4384176654997,199.31276939317252,178.56305679854984,187.42498045292663,1
2015-08-25,188.11525862245213,192.20745677529123,197.20142581268306,176.6933309301868,185.27733281311967,1
2015-08-26,186.18315621276983,190.13405530784772,195.09518272071085,174.78360874047814,183.23379493542188,1
2015-08-27,184.2793045310018,188.08718407159532,193.0551308431984,172.94323685399806,181.25203732178724,1
2015-08-28,182.41428844561014,186.1619344260649,191.13365556077656,171.18635395713991,179.34796687884997,1
2015-08-31,180.6231721436094,184.23942971976302,189.1808328341317,169.4012598921913,177.48423253268783,1
2015-09-01,178.81681365716867,182.35041222637363,187.53134355746838,166.68310083659645,175.65258213848858,1
2015-09-02,177.06936870767927,180.52914016403292,185.68164866045265,165.02182561833442,173.82012912420697,1
2015-09-03,175.22657927391657,178.5603801628261,183.7260818189024,163.25217716866092,171.94100917046103,1
2015-09-04,173.36362443408734,176.61240059304808,181.7821807044241,161.45682599983755,170.0249381679728,1
2015-09-07,171.51326565120985,174.65860957820232,179.80301419473943,159.67642126406997,168.07090877166064,1
2015-09-08,169.6012030139137,172.5978947874819,177.77669286565734,157.86871142223734,166.0552054208665,1
2015-09-09,167.69800501281404,170.57931068360642,175.73887814892885,155.9983968096274,163.9943559963034,1
2015-09-10,165.77967269452506,168.52509621324387,173.6511436018143,154.10760856627954,161.90464662851045,1
2015-09-11,163.87113697435208,166.50055383716077,171.6187457580011,152.3114986967569,159.82732913750294,1
2015-09-14,161.9928786447121,164.49368264968408,169.6284471978724,150.52658448035908,157.75883938749033,1
2015-09-15,160.15377533092902,162.55346899027347,167.67921835781348,148.82676258176215,155.7564673279607,1
2015-09-16,158.4170844143675,160.70938743330083,165.83837960922466,147.22278781803104,153.82413934511675,1
2015-09-17,157.01995807527862,159.0860729205223,164.12918240910747,145.7050971344928,152.00189568954482,1
2015-09-18,155.5670754946696,157.5078522042048,154.28477772484706,144.240016909084,150.31507825887914,1
2015-09-21,154.1250967138929,155.99688292559625,152.845488769172,142.8341137225408,148.76278555553463,1
2015-09-22,152.81838185208244,154.4792705940779,150.60790523716275,141.5083307681687,147.3695512965878,0
2015-09-23,151.60380493183584,153.2207474614244,149.4135110890819,140.30454237073965,146.09497778984763,0
2015-09-24,150.51575521302857,152.10556028257793,148.3574146811665,139.22023558451875,144.98473822247715,0
2015-09-25,149.56102837797272,151.14308270508033,147.456612240453,138.24858119057728,144.02865361967054,0
2015-09-28,148.70734435212495,150.28589056132685,146.6694173496992,137.36866117692344,143.2055483642659,0
2015-09-29,147.9733801659229,149.55965683298095,145.99670942290854,136.58924544982318,142.5037566109993,0
2015-09-30,147.324724526345,148.9354576601089,145.40424804821558,135.89126432069202,141.89485716381515,0
2015-10-01,146.7217634828367,148.34204105831478,144.88699801657071,135.23455516564752,141.33637913079045,0
2015-10-02,146.14966982358172,147.78214137599088,144.3828661778203,134.58835257955576,140.80676744312913,0
2015-10-05,145.6065097681948,147.26670086760203,143.9054306965114,133.97110191855325,140.28235582540358,0
2015-10-06,145.06557739105557,146.74480418968596,143.42847494636527,133.36582848575677,139.74379845142198,0
2015-10-07,144.5151608052386,144.9421842535748,142.909551696455,132.75114936763052,139.178220583597,0
2015-10-08,143.95914333447388,144.39771081701733,142.3985400900238,132.14715377994378,138.57558001789184,0
2015-10-09,143.3757891121095,143.81848684152632,141.84178499823105,131.4705398375987,137.93014241343135,1
2015-10-12,142.84875665999985,143.34655574681784,141.39169571845096,130.89084260140623,137.17540740571462,1
2015-10-13,142.31575071002683,142.84832464088925,140.93229770076286,130.28481377453525,136.5027387059469,1
2015-10-14,141.78077043491334,142.30271232817003,140.42668147941873,129.72798364260018,135.84792432757345,1
2015-10-15,141.2701214611082,141.7837336160552,139.92820181719588,129.18878503351706,135.21269269596624,0
2015-10-16,140.6933806826607,141.19425673988414,139.3670701101148,128.5706289893062,134.54334848612606,0
2015-10-19,140.15368219095484,140.6369262941107,138.84963145564643,127.99790069500933,133.92035794328493,0
2015-10-20,139.651894544966,140.13439087789948,138.37175521682215,127.44234717065059,133.3536825747021,0
2015-10-21,139.18791088027177,139.66974502234814,137.93347166224333,126.92874873117617,132.85023448034562,0
2015-10-22,138.7725494858529,139.27307707352603,137.56788399602712,126.45592066313567,132.41007820599566,0
2015-10-23,138.3854611407575,138.8958439838705,137.2259250559952,128.133742638436,132.02663555348465,1
2015-10-26,138.08837322285765,138.62103175237982,136.9908582974125,127.75115502319514,131.73410067268688,1
2015-10-27,137.7907022702724,138.3549389846921,136.76524289749108,127.18317945273594,131.44619054619756,1
2015-10-28,137.56413788549102,138.1866398930461,136.53959094425386,126.82066153890037,131.20531953745493,1
2015-10-29,137.26454940103406,137.9397335016461,136.29158504413326,126.46471058595705,130.94930297398218,1
2015-10-30,136.8825124087473,137.57959169294756,135.9735783554442,126.00494872267917,130.60557047850557,1
2015-11-02,136.4806642434747,137.18864235738997,135.60064927709575,125.48613187383376,130.21941950967081,1
2015-11-03,135.9997711622937,136.71502686257523,135.1591357885429,124.97870617828472,129.74834375446505,1
2015-11-04,135.42978933438968,136.13987606629914,134.60254929277454,124.69389043979093,129.17760729252183,1
2015-11-05,134.80697057714056,135.54148300522817,134.0143390217453,124.09491844405977,128.5050488078968,1
2015-11-06,134.08625004339027,134.79200529771495,133.3183341461496,123.36857718488257,127.71079210328907,0
2015-11-09,133.19543939540367,133.87360794747744,132.43206172147652,122.52822296021739,126.76380586044142,0
2015-11-10,132.22158399808805,132.8458253953017,131.43727303201325,121.60410962922201,125.7212095340825,0
2015-11-11,131.24033250951223,131.7895021172227,130.39240463656574,120.67848082521893,124.61044307476155,0
2015-11-12,130.14860898852623,130.62679762757415,129.26992591454425,119.61183721527502,123.42362181813789,0
2015-11-13,129.05364576519113,129.4646883162742,128.136306385088,118.59209090287666,122.23085662602998,0
2015-11-16,127.93991650554104,128.2805729545392,127.00228549172539,117.57801211815048,121.03495426141822,0
2015-11-17,126.8395750659755,127.11455672057174,125.86778704980158,116.51695216397593,119.85757330031144,0
2015-11-18,125.77343603322906,125.9799915056829,126.48282860476472,115.54178011378697,118.73437435931504,0
2015-11-19,124.74437504458817,124.89986063004153,125.42609563952318,114.60928218814988,117.67279463271991,0
2015-11-20,123.76161389181118,123.87688656200098,124.41370650502228,113.70384642931934,116.67590873363878,0
2015-11-23,122.8332111162533,122.90603759682857,123.46378738332689,112.85986689572387,115.75384649539289,0
2015-11-24,121.95230638593628,121.98743277179496,122.57467781117668,112.05398956890184,114.89973357621102,0
2015-11-25,121.1180242004502,121.12336088422681,121.73375223684091,111.28401552174488,114.10881026166064,0
2015-11-26,120.33338815370665,120.31369583052185,117.55474357148445,110.56464048195957,113.37174314932423,0
2015-11-27,119.59349149643768,119.5661543937044,116.82788271375478,109.87535516741693,112.67272760932426,0
2015-11-30,118.88945051857185,118.82972227817493,116.13566825440775,109.26320072589202,112.00334939209979,0
2015-12-01,118.16687447401384,118.08003661169093,115.42439974849175,108.5892215475243,111.32334297653048,0
2015-12-02,117.4672483145788,117.35294366590148,114.73959594950642,107.95749049754804,110.65419800620467,0
2015-12-03,116.76866556531284,116.62300258788802,114.04527714437107,107.35400088611915,109.980040633353,0
2015-12-04,116.07349638926809,115.8918388977233,113.34809942916941,106.71261427505283,109.28439913020824,0
2015-12-07,115.39682175543295,115.17922124081299,112.65413327911237,106.1050999100835,108.58779126061636,0
2015-12-08,114.72819241480698,114.46427670726376,111.9743719847501,105.51627089422244,107.88199643736635,0
2015-12-09,114.08115584139655,113.77049852393539,111.29635376854172,104.9441097407783,107.190295738917,0
2015-12-10,113.48168337030582,113.1239142464229,110.66668241717026,104.41504533661794,106.5222502433464,0
2015-12-11,112.9208453223512,112.51752300777582,110.0778407916915,103.92272291188391,105.89898513393892,0
2015-12-14,112.42495624360396,111.97982817185557,109.55603782946714,103.4868924655516,105.33883966114786,0
2015-12-15,112.01639312269134,111.53562316258258,109.12608742316789,103.13909196461704,104.86628035216987,0
2015-12-16,111.697668102963,111.19597531573375,108.79232489309017,102.87370399577624,104.49874983074719,0
2015-12-17,111.49280947277273,110.98141814693814,108.57001053495046,102.69895112621477,104.24908537024157,1
2015-12-18,111.4460770359992,110.92381868844336,108.53448528000548,102.67021134782077,104.15958886568069,1
2015-12-21,111.5064755370876,111.00693186969146,108.57977292835952,102.71405030718684,104.2075802392922,0
2015-12-22,111.63116973572062,111.14111977373666,108.70973109851565,102.81772520482684,104.34504519323507,0
2015-12-23,111.88083270604325,111.40614202700041,108.97710445147437,103.051676132378,104.61732804992812,0
2015-12-24,112.2469759050233,111.80151184493579,108.4091105403914,103.36370067131789,105.00786161092337,0
2015-12-25,112.69023667582022,112.28198000750413,108.87298637817526,103.7486982270881,105.49862054380574,0
2015-12-28,113.21739460719881,112.84657733714079,109.41212169832266,104.21232086375352,106.07727090964771,0
2015-12-29,113.8036539362387,113.47523962064048,110.01546575158578,104.72467515722985,106.71990380458291,0
2015-12-30,114.44226838925313,114.1600569609061,110.67420623726451,105.28932507609329,107.40999646784199,0
2015-12-31,115.11900403310054,114.88410845975608,111.37249500215466,105.8887654267659,108.12249421541418,0
2016-01-01,115.82876988942925,115.63795730429345,112.08315021594582,106.51312783484701,108.8483596362583,0
2016-01-04,116.53856655658691,116.3826493276248,112.79681931176198,107.15287529359372,108.97137434500324,0
2016-01-05,117.26189350337751,117.15412427136127,113.50931133733779,107.79533837156107,109.68156440876886,0
2016-01-06,117.9870216331341,117.89943370765653,114.21943689679918,108.44966727197433,110.37537260759768,0
2016-01-07,118.71793205527874,118.64396790334348,114.92980402235466,109.11533475221711,111.05817737946597,0
2016-01-08,119.46153135531618,119.40558282232374,115.64782372032782,109.7832992949244,111.73839243765838,0
2016-01-11,120.23077138205771,120.20187783019323,116.3827236065865,110.48128884671407,112.43506689611706,0
2016-01-12,121.02564858336873,121.01522576303184,117.1411333836652,111.50417951096581,113.15440928759351,0
2016-01-13,121.85067882955276,121.86777882372652,117.93661766163703,112.25289600091327,113.9110348551065,0
2016-01-14,119.8510389923079,122.76333002973558,118.77248991607208,113.04949252110312,114.72289333388915,0
2016-01-15,120.74937867093479,123.73070739324106,119.66719353209811,113.8953434345364,115.59701585363378,0
2016-01-18,121.69041107608159,124.73248588844237,120.96245099110887,114.7490618098344,116.52356464357987,0
2016-01-19,122.69155822150866,125.8156797215966,121.98898352242962,115.74985673925227,117.54407773759957,0
2016-01-20,123.71883639548255,126.93107565790937,123.01914268025445,116.63683330823167,118.6179548174227,0
2016-01-21,124.80792375808551,128.10495532604003,124.1253797848656,117.65690932613938,119.76301678207628,0
2016-01-22,125.91422644740948,129.30713424393082,125.2641644174993,118.68663654462492,120.94609041339228,0
2016-01-25,127.03668152517756,130.30452428005103,126.43562134641999,119.74139683449422,122.15707484213831,0
2016-01-26,128.1476817010835,131.51109731478138,127.5825908450151,120.7788727714218,123.36391967586427,0
2016-01-27,129.24820916256732,132.7257517105727,128.7070371495801,121.80544564612721,124.55435850652337,0
2016-01-28,130.30325371858208,133.86118150520062,129.78457624366527,122.80914393087772,125.69257608203787,0
2016-01-29,131.28985486616878,134.9363747988705,130.79624096158517,123.76455970446362,126.75852317831317,0
2016-02-01,132.19992298143956,135.90552982056874,131.71540942181025,124.65595091243793,127.7306395701038,0
2016-02-02,133.03897036670017,136.7924787282845,131.1940358984132,125.47232448917025,128.59419575247202,0
2016-02-03,133.77322049579791,137.55632494949913,131.90390668424152,126.20680482955655,129.32525438041557,0
